"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33","V34","V35","V36","V37","V38","V39","V40","V41","V42","V43","V44","V45","V46","V47","V48","V49","V50"
"tnk_1","CCL5","ACTB","NKG7","FTH1","GZMA","FTL","SRGN","SH3BGRL3","HCST","CCL4","IL32","ZFP36L2","OAZ1","CD52","CYBA","ARHGDIB","DDX5","CXCR4","TSC22D3","CST7","CD7","CD69","S100A4","ID2","CORO1A","ZFP36","VIM","PTPRC","JUNB","CD3D","DUSP1","KLF6","CLIC1","CD3E","EVL","RGS1","TRBC2","GZMB","JUN","CD74","IFITM2","PNRC1","ALOX5AP","CALM2","FOS","TXNIP","NEAT1","SRSF7","ANXA1","CD2"
"tnk_2","ACTB","FTH1","FTL","JUNB","SRGN","TSC22D3","ARHGDIB","IL32","SH3BGRL3","DDX5","CD3D","OAZ1","CD52","LTB","CXCR4","CD3E","FXYD5","S100A4","IL7R","KLF6","DUSP1","ZFP36L2","FOS","PTPRC","LAPTM5","VIM","CORO1A","TXNIP","JUN","CD2","LDHB","TRBC2","GMFG","CD37","ZFP36","NFKBIA","CD69","SAT1","TRAC","CD7","SRSF5","EIF3F","EIF4A2","PNRC1","CYBA","COX6C","ZFAS1","RAC2","RGS1","CALM2"
"tnk_3","PKM","ARPC1B","COTL1","IL2RG","CLIC1","PSMB9","S100A11","CKLF","S100A4","CD74","CTSC","CD2","PSMB3","BATF","DUSP4","LSP1","CYBA","TSPO","PSMB8","UCP2","TRAC","POMP","PRELID1","CAPZB","TNFRSF18","LCK","TXN","CORO1A","DBI","COX7A2","RAC2","CD3D","CARD16","COX6C","LDHA","TYMP","BST2","VAMP8","GNG5","HMGN1","PGK1","IFI27L2","HNRNPK","SEC61G","LGALS3","ARPC5","TRBC2","ARF6","IL32","ISG15"
"tnk_4","PTPRCAP","IFITM1","EZR","PNRC1","SLC2A3","CREM","REL","SMCHD1","CRIP1","TNFAIP3","CCNH","ELF1","SYTL3","CD55","PDE4B","NR4A2","MCL1","IL7R","EIF5","EML4","MBNL1","CSRNP1","ETS1","PIK3R1","FYN","SRSF7","TAGLN2","SMAP2","DNAJB1","AKAP13","ZNF331","LEPROTL1","PDCD4","MYADM","SQSTM1","DAZAP2","BRD2","PRRC2C","CD44","GNG2","PTPRC","RBM39","EPC1","NR3C1","RGCC","STK17B","ZFP36","KMT2E","FUS","PER1"
"tnk_5","STMN1","TUBA1B","H2AFZ","TYMS","PCNA","BLOC1S1","HMGN1","RAN","SNRPD1","CKLF","SIVA1","COTL1","ARPC5","CARHSP1","ARPC1B","POMP","LSM5","DBI","PKM","LDHA","COX6C","GSTP1","IDH2","CKS1B","MZT2A","PSMB9","PSMA4","SMC4","COX7A2","GNG5","HNRNPF","CALM2","ARPC4","PSMB3","CORO1A","ARF6","ARL6IP4","NDUFA13","LDHB","IFI16","HNRNPK","PRELID1","VIM","RAC2","OAZ1","CLIC1","TXN","CYBA","PGK1","SEC61G"
"tnk_6","IFITM1","GZMK","CD74","CST7","DNAJB1","DAZAP2","GIMAP4","CD3E","ITGB2","CCL4","FXYD5","HLA.DPA1","LAPTM5","CD8A","JUNB","CCL4L2","IER2","CD37","PTPRC","AHNAK","CD8B","RAC2","LCP1","HLA.DPB1","JUN","CD44","LIMD2","VIM","KLF6","CNN2","ZFP36","PSMB9","FOS","ARHGDIB","HLA.DRB1","ARHGEF1","LCP2","TAGAP","PARP8","LCK","LSP1","CORO1A","LDHB","HCLS1","EMP3","GPSM3","DDX5","CLIC1","NKG7","GZMM"
"tnk_7","TYROBP","FCER1G","FGFBP2","KLRF1","TRDC","FCGR3A","PLAC8","GNLY","TXK","AREG","MATK","SH2D1B","S1PR5","SPON2","CLIC3","IL2RB","ADGRG1","LAT2","FGR","CTSW","IFITM3","KLRC1","TTC38","XCL2","XCL1","BIN2","C1orf21","PLEK","CD300A","CMC1","MAP3K8","APMAP","CCND3","PRSS23","IGFBP7","MBP","ITGB1","PTGDR","FCRL6","CX3CR1","TNFRSF18","NCR3","AOAH","TMIGD2","LAIR2","TPST2","RIN3","KIR2DL4","EFHD2","ZAP70"
"tnk_8","CREM","RGCC","REL","MYADM","SLC7A5","ARL4A","CSRNP1","ATP1B3","KDM6B","RORA","STAT4","PLK3","FOSL2","RELB","NFKB2","ZNF331","AC058791.1","UBE2S","CHD1","ODC1","PIM3","NR4A3","TUBB4B","JMJD6","PDE4D","BHLHE40","NFKB1","PDCL3","CDKN1A","PDE4B","NFE2L2","AMD1","ATP2B1","TIPARP","CD83","TGFB1","EML4","NAMPT","PDE4A","PERP","ZFAND5","PPP1CB","PRNP","PLIN2","GPR65","PFKFB3","GPR183","SATB1","INSIG1","PHLDA1"
"tnk_9","KLRC2","ENTPD1","ITGA1","XIST","TRGC2","TRDC","IKZF3","SRGAP3","ARID1B","ANKRD11","UBALD2","ANKRD28","BPTF","GPR171","MXD4","SLFN5","TNRC6B","PRPF4B","IGHA1","VMP1","TLN1","KMT2A","SPRY1","ARPC4","POLR2J3","AAK1","PTPN22","BOD1L1","YPEL3","KIR2DL4","BLOC1S1","PTMS","GLS","PIP4K2A","CCND2","SSBP4","FAM3C","HAVCR2","MDM4","CEBPB","PTPRA","TRIM56","SOCS1","TTC14","CEBPD","TMIGD2","C1orf56","HNRNPH1","SAMD9","KLF13"
"tnk_10","JUND","IGKC","IGLC2","IGHA1","UBE2S","RGCC","GNAS","ARL4C","GPR183","CREM","KLF2","ANXA1","PNRC1","CD48","DUSP2","DDX24","FOSB","IGLC3","TUBB4B","CNOT6L","ZNF331","IL7R","PDCD4","PPP1CB","IGHA2","CYBA","FAM107B","AMD1","ATP1B3","SRSF7","DDX21","TRAC","EZR","RBM39","SMAP2","AAK1","CXCR4","ZFAS1","ZFP36L2","HNRNPH1","SOCS1","NEAT1","FAM133B","ELF1","ETS1","NR4A2","AC058791.1","LEPROTL1","PRRC2C","STK17A"
"tnk_11","IFITM1","GIMAP4","CNN2","DAZAP2","IFITM3","CCND3","SLC2A3","HIST1H4C","LCP2","ARHGEF1","ANXA1","HCLS1","TC2N","GPSM3","DENND2D","GIMAP7","FOSB","TAGAP","IER2","BTG2","ZAP70","FLT3LG","CD40LG","RBL2","CAMK4","FCMR","CCNH","ITK","PPP1R15A","AC016831.7","LIMD2","PHB2","DNAJB1","CD5","EIF3L","ARHGAP15","FKBP5","IL16","BRD2","LCP1","NR4A2","PTGER4","INPP4B","AHNAK","TBRG1","DDIT4","GADD45B","EML4","MBNL1","RAC2"
"tnk_12","FOXP3","TIGIT","BATF","CARD16","CTLA4","DUSP4","GBP5","TNFRSF18","IL2RA","LAIR2","TNFRSF4","TBC1D4","CTSC","HLA.DRB1","PMAIP1","HLA.DPA1","STAM","IKZF2","BTG3","HLA.DPB1","SLAMF1","RTKN2","PIM2","IL10RA","TNFRSF1B","IL2RB","CD27","GLRX","USP15","PRDM1","ARID5B","LAYN","SYNGR2","ACP5","PHLDA1","GBP2","PELI1","SKAP1","SELPLG","GK","FAS","HTATIP2","SQSTM1","NAMPT","CST7","PHTF2","ICA1","SH2D2A","PBXIP1","CASP1"
"tnk_13","IL6ST","ICA1","TIGIT","FKBP5","CD84","TBC1D4","LIMS1","TSHZ2","PASK","TOX","IKZF3","TCF7","SMCO4","SESN3","MAF","SESN1","ATM","NR3C1","PHACTR2","MAGEH1","CTLA4","PDCD1","SH2D1A","GLCCI1","FAM107B","IL6R","CXCL13","ADD3","BTLA","DGKA","GPRIN3","TMEM243","TIAM1","YPEL3","TNFSF8","SLC9A9","TLK1","ELMO1","MSI2","GIMAP7","LRMP","TGOLN2","CD200","ARAP2","PSIP1","THADA","IPCEF1","AKAP13","SYNE1","NKTR"
