"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33","V34","V35","V36","V37","V38","V39","V40","V41","V42","V43","V44","V45","V46","V47","V48","V49","V50"
"tnk_1","CCL5","ACTB","NKG7","FTH1","FTL","SRGN","SH3BGRL3","GZMA","HCST","IL32","CCL4","ZFP36L2","CD52","TSC22D3","OAZ1","CXCR4","CD69","CD7","ARHGDIB","CYBA","DDX5","CD3D","DUSP1","ZFP36","RGS1","ID2","CST7","PTPRC","CORO1A","CD3E","KLF6","VIM","S100A4","JUNB","TRBC2","EVL","JUN","CLIC1","FOS","GZMB","TXNIP","ALOX5AP","CD8A","CD2","KLRD1","PNRC1","CALM2","IFITM2","SRSF7","RAC2"
"tnk_2","ACTB","FTH1","FTL","TSC22D3","SRGN","SH3BGRL3","JUNB","ARHGDIB","IL32","CD3D","DDX5","OAZ1","CXCR4","KLF6","DUSP1","CD3E","IL7R","CD52","S100A4","FOS","LTB","FXYD5","PTPRC","TXNIP","ZFP36L2","JUN","VIM","LAPTM5","CD2","ZFP36","CORO1A","TRBC2","CD69","NFKBIA","GMFG","SAT1","RGS1","LDHB","CD7","CD37","TNFAIP3","CYTIP","NEAT1","RAC2","COX6C","COX7A2","PNRC1","ANAPC16","DNAJB1","CALM2"
"tnk_3","PKM","ARPC1B","COTL1","CLIC1","CKLF","S100A4","PSMB9","S100A11","IL2RG","CD2","BATF","CTSC","CD74","TNFRSF18","PSMB3","DUSP4","LSP1","CYBA","PSMB8","UCP2","POMP","TSPO","CAPZB","COX7A2","LCK","PRELID1","CORO1A","CD3D","DBI","TXN","TRAC","RAC2","CARD16","COX6C","LDHA","GNG5","TYMP","BST2","VAMP8","IFI27L2","HMGN1","PGK1","ARF6","SEC61G","TRBC2","LGALS3","HLA.DPA1","HNRNPK","RGS1","ARPC5"
"tnk_4","PTPRCAP","IFITM1","EZR","PNRC1","SLC2A3","CREM","CRIP1","SMCHD1","REL","TNFAIP3","CCNH","SYTL3","ELF1","PDE4B","CD55","IL7R","MCL1","NR4A2","EIF5","EML4","MBNL1","ETS1","CSRNP1","PIK3R1","SMAP2","FYN","SRSF7","DNAJB1","TAGLN2","AKAP13","LEPROTL1","PDCD4","ZNF331","MYADM","SQSTM1","DAZAP2","BRD2","CD44","PRRC2C","PTPRC","GNG2","RBM39","EPC1","NR3C1","STK17B","ZFP36","RGCC","PER1","KMT2E","FUS"
"tnk_5","STMN1","TUBA1B","H2AFZ","TYMS","PCNA","CKLF","HMGN1","RAN","BLOC1S1","SIVA1","SNRPD1","ARPC5","COTL1","POMP","DBI","CARHSP1","LDHA","LSM5","COX6C","PKM","ARPC1B","GSTP1","COX7A2","PSMB9","GNG5","CALM2","ARF6","SMC4","IDH2","HNRNPF","MZT2A","CKS1B","CORO1A","PSMA4","PSMB3","IFI16","NDUFA13","ARL6IP4","LDHB","HNRNPK","VIM","OAZ1","RAC2","CLIC1","ARPC4","NAA38","SEC61G","CYBA","PRELID1","PGK1"
"tnk_6","IFITM1","GZMK","CD74","DNAJB1","CST7","DAZAP2","HLA.DPA1","CD3E","GIMAP4","CCL4","FXYD5","JUNB","LAPTM5","ITGB2","CD8A","IER2","HLA.DPB1","PTPRC","CD37","CCL4L2","RAC2","AHNAK","LCP1","CD8B","JUN","HLA.DRB1","VIM","KLF6","CD44","ZFP36","FOS","LIMD2","CNN2","PSMB9","ARHGDIB","ARHGEF1","LCP2","TAGAP","PARP8","LCK","LSP1","CORO1A","HLA.F","LDHB","HCLS1","TNFAIP3","FOSB","CYTIP","DDX5","BRD2"
"tnk_7","TYROBP","FCER1G","TRDC","TXK","AREG","KLRF1","SH2D1B","XCL1","KLRC1","FCGR3A","GNLY","LAT2","KLRC3","KIR2DL4","PLAC8","IL2RB","TMIGD2","IFITM3","TNFRSF18","XCL2","MATK","FGFBP2","CLIC3","MAP3K8","CTSW","NCR1","TCIRG1","RIN3","AOAH","MCTP2","PTGDR","ST3GAL1","ARHGAP9","FGR","ADGRG1","ATP8B4","ITGB1","KRT86","MPG","CCND3","MBP","ZBTB16","IFITM1","SPON2","ZAP70","SLC16A3","BIN2","SLC9A3R1","TTC38","NCR3"
"tnk_8","CREM","SLC7A5","RGCC","REL","AC058791.1","MYADM","ARL4A","RORA","CSRNP1","KDM6B","ATP1B3","STAT4","PDE4D","FOSL2","ODC1","PLK3","RELB","TUBB4B","UBE2S","PDCL3","NR4A3","PDE4A","PFKFB3","NFKB2","PERP","CD83","TIPARP","CHD1","NFKB1","CCL20","CDKN1A","SATB1","PDE4B","BHLHE40","LDLRAD4","PIM3","JMJD6","AMD1","ZNF331","GPR65","MGAT4A","NAMPT","ZFAND5","GPR183","PRNP","NFE2L2","TGFB1","DDX21","PPP1CB","RGS2"
"tnk_9","KLRC2","ENTPD1","ITGA1","XIST","TRGC2","TRDC","IKZF3","ARID1B","SRGAP3","ANKRD28","UBALD2","GPR171","ANKRD11","BPTF","SLFN5","MXD4","IGHA1","VMP1","SPRY1","PRPF4B","TNRC6B","TLN1","KMT2A","ARPC4","AAK1","KIR2DL4","PTPN22","YPEL3","BLOC1S1","BOD1L1","GLS","PTMS","POLR2J3","CCND2","PIP4K2A","SSBP4","FAM3C","HAVCR2","CEBPB","MDM4","SOCS1","PTPRA","TMIGD2","CEBPD","TRIM56","TTC14","GABPB1.AS1","HNRNPH1","TRG.AS1","C1orf56"
"tnk_10","JUND","IGKC","IGHA1","IGLC2","UBE2S","GNAS","RGCC","ARL4C","GPR183","CREM","PNRC1","FOSB","KLF2","DDX24","IGHA2","TUBB4B","CD48","DUSP2","CNOT6L","ANXA1","IL7R","AC058791.1","PDCD4","SMAP2","ETS1","AMD1","PPP1CB","SRSF7","CYBA","IGLC3","SOCS1","EZR","FAM107B","HNRNPH1","ZNF331","ATP1B3","CXCR4","DDX21","ZFAS1","RBM39","AAK1","ZFP36L2","NEAT1","TRAC","ELF1","LEPROTL1","IER2","CALM2","PRRC2C","FUS"
